# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
50, 491, , 61014
50, 753, , 64512
50, 302, , 60868
50, 330, , 60953
50, 594, , 61331
50, 258, , 60905
50, 1541, , 61069
50, 284, , 3575
50, 355, , 61228
116959
50, 277, , 3442
51, 512, , 61122
51, 263, , 4475
51, 512, , 61405
51, 281, , 5891
51, 299, , 60916
51, 361, , 60929
51, 758, , 61215
51, 598, , 61024
51, 283, , 3419
41433
51, 358, , 61058
51, 281, , 64475
51, 267, , 3445
51, 276, , 9217
51, 512, , 61268
51, 262, , 11263
51, 268, , 2387
51, 946, , 61898
51, 288, , 61005
51, 277, , 5562
51, 477, , 61160
52, 512, , 61451
52, 284, , 6036
52, 907, , 61127
52, 287, , 64733
52, 1716, , 61053
52, 740, , 61260
52, 431, , 64090
52, 512, , 61148
52, 460, , 61030
52, 688, , 61076
52, 462, , 61080
52, 403, , 61085
52, 276, , 62009
52, 274, , 63876
52, 350, , 60996
52, 862, , 61815
52, 1629, , 61298
52, 745, , 61261
52, 278, , 5770
52, 350, , 61290
53, 512, , 67195
53, 618, , 60995
53, 915, , 61732
53, 692, , 61611
53, 310, , 61113
53, 649, , 61423
53, 290, , 8664
53, 299, , 64195
53, 512, , 61025
53, 470, , 60989
53, 311, , 61022
53, 415, , 61129
53, 724, , 64323
53, 814, , 61041
53, 279, , 6739
41363
53, 377, , 61035
53, 287, , 63971
70266
53, 512, , 61016
53, 262, , 6757
53, 835, , 61200
54, 380, , 60993
54, 260, , 7632
54, 256, , 63939
54, 263, , 13249
54, 286, , 5589
54, 966, , 61249
54, 416, , 61049
54, 276, , 4517
54, 582, , 61175
54, 290, , 12177
54, 291, , 60870
54, 703, , 61209
54, 432, , 61000
54, 398, , 64153
54, 333, , 61038
54, 1064, , 70233
54, 873, , 61209
54, 467, , 61177
54, 260, , 8917
54, 406, , 61185
55, 439, , 61085
55, 338, , 60909
55, 512, , 61152
55, 678, , 61156
55, 261, , 60827
55, 297, , 60884
55, 501, , 61400
55, 512, , 61247
55, 512, , 61184
55, 565, , 61229
55, 512, , 61307
55, 512, , 61121
55, 277, , 7677
55, 264, , 65671
74780
55, 372, , 61307
55, 512, , 61128
55, 512, , 61027
55, 618, , 61173
55, 500, , 61428
55, 512, , 64100
56, 282, , 64283
56, 428, , 61165
56, 512, , 61285
56, 267, , 6920
46022
56, 512, , 61405
56, 496, , 61000
56, 270, , 3496
56, 320, , 6865
56, 696, , 70476
56, 484, , 60993
56, 467, , 60986
56, 450, , 61133
56, 552, , 61162
56, 533, , 67577
56, 1411, , 61585
56, 287, , 6462
56, 669, , 61294
56, 440, , 61080
56, 369, , 61157
56, 265, , 68058
