# of invocation until it gets C1/OSR/C2 compiled
Graph size, C1, OSR, C2
55, 425, , 67150
55, 318, , 6754
55, 321, , 67281
55, 393, , 70506
128765
55, 326, , 61100
56, 433, , 67132
56, 304, , 60888
56, 512, , 67176
56, 278, , 65361
56, 512, , 64178
56, 645, , 67197
56, 421, , 67424
56, 352, , 67111
56, 316, , 63997
56, 259, , 6686
56, 512, , 64092
56, 1120, , 70269
56, 340, , 67253
56, 332, , 69031
56, 449, , 64248
56, 306, , 67032
56, 486, , 60961
99720
56, 470, , 67485
56, 718, , 64111
56, 817, , 70264
57, 306, , 63988
57, 365, , 61273
57, 260, , 4591
57, 628, , 67201
57, 322, , 61073
57, 257, , 64145
57, 259, , 8132
57, 332, , 64044
57, 512, , 67473
57, 304, , 60980
57, 512, , 64699
57, 376, , 60974
57, 505, , 67555
57, 311, , 5731
57, 512, , 67163
57, 512, , 70213
57, 1301, , 64141
57, 1088, , 70210
57, 260, , 4549
57, 739, , 61071
58, 345, , 12605
58, 262, , 70276
58, 846, , 70272
58, 340, , 70427
58, 690, , 70272
58, 512, , 67163
58, 325, , 60933
58, 512, , 67158
58, 325, , 12821
58, 258, , 2354
58, 331, , 60930
58, 303, , 6568
58, 280, , 7734
58, 264, , 9771
58, 434, , 64070
58, 761, , 70299
58, 1155, , 67200
58, 512, , 67129
58, 737, , 64446
58, 286, , 15056
59, 258, , 7354
59, 512, , 70249
59, 346, , 63966
59, 257, , 4149
59, 297, , 63946
59, 304, , 60979
59, 637, , 67269
59, 256, , 10241
59, 319, , 64302
59, 295, , 5512
42490
59, 358, , 64065
59, 460, , 64082
59, 313, , 64296
59, 447, , 70190
59, 512, , 64520
59, 512, , 64095
59, 299, , 63969
59, 683, , 67741
59, 336, , 64087
100318
59, 260, , 13188
60, 340, , 61213
60, 263, , 60969
60, 407, , 67145
60, 388, , 67131
60, 381, , 60982
60, 380, , 60983
60, 392, , 70273
60, 602, , 64109
60, 429, , 67486
60, 258, , 60783
60, 257, , 3395
60, 417, , 67341
60, 438, , 64040
60, 1097, , 67196
60, 448, , 67465
60, 1145, , 67847
60, 1124, , 67191
60, 384, , 67364
60, 1318, , 67191
60, 387, , 64062
61, 348, , 70549
61, 392, , 70191
61, 301, , 8647
61, 260, , 5572
61, 714, , 64606
61, 273, , 4451
61, 388, , 64357
61, 259, , 4520
61, 692, , 67177
61, 259, , 4471
61, 301, , 67047
61, 288, , 6548
61, 1401, , 67238
61, 1218, , 67337
61, 356, , 64134
61, 371, , 67127
61, 512, , 64411
61, 512, , 67694
61, 440, , 67533
61, 259, , 60780
62, 478, , 64550
62, 259, , 3477
62, 373, , 60995
62, 301, , 70145
62, 371, , 60975
62, 547, , 64101
62, 379, , 64049
62, 496, , 67532
62, 425, , 64081
62, 481, , 67147
62, 442, , 67462
62, 428, , 67481
62, 262, , 64030
62, 369, , 61036
62, 515, , 67197
62, 394, , 67123
62, 463, , 64079
62, 294, , 60894
62, 303, , 64011
62, 303, , 64288
63, 749, , 67823
63, 696, , 70850
63, 495, , 70224
63, 290, , 60998
63, 398, , 70201
63, 319, , 67074
99568
63, 347, , 67122
63, 260, , 7996
63, 264, , 12580
63, 615, , 67212
63, 309, , 61037
63, 1412, , 70276
63, 359, , 67258
63, 259, , 60746
63, 1423, , 64507
63, 257, , 6650
63, 701, , 61046
63, 512, , 64501
63, 330, , 67058
63, 258, , 56643
64, 267, , 64158
64, 295, , 8641
64, 286, , 4575
64, 418, , 67130
64, 472, , 64091
64, 426, , 67529
64, 580, , 64169
64, 470, , 70219
64, 261, , 10254
51290
64, 512, , 67163
64, 297, , 5632
64, 259, , 3392
64, 1152, , 67379
64, 307, , 60936
64, 261, , 5637
64, 327, , 8659
64, 359, , 64147
64, 390, , 64049
64, 341, , 70209
64, 298, , 12013
65, 300, , 12384
65, 281, , 8624
65, 616, , 64114
65, 512, , 67635
65, 260, , 10371
65, 469, , 67429
124457
65, 263, , 16927
65, 512, , 67348
65, 670, , 67179
65, 1049, , 64114
65, 432, , 70352
65, 512, , 64709
65, 338, , 60989
65, 323, , 6626
65, 287, , 9249
65, 496, , 67154
65, 348, , 67126
65, 259, , 5542
65, 309, , 13698
65, 264, , 67005
66, 413, , 64080
66, 258, , 5911
66, 259, , 9131
66, 258, , 3393
66, 327, , 60922
66, 291, , 64181
66, 292, , 67246
66, 512, , 70572
66, 343, , 64024
66, 672, , 67139
66, 335, , 61182
66, 512, , 64084
66, 259, , 5466
66, 512, , 67159
66, 261, , 6649
66, 378, , 64479
66, 289, , 5615
66, 260, , 9623
66, 465, , 64068
66, 392, , 67135
67, 640, , 64281
67, 586, , 70275
67, 312, , 60895
67, 320, , 63942
67, 1052, , 67223
67, 512, , 67190
67, 257, , 34093
67, 291, , 63955
67, 700, , 61053
67, 512, , 64655
67, 279, , 13029
67, 258, , 3465
45130
67, 1312, , 64111
67, 542, , 64097
67, 262, , 16899
67, 1358, , 67180
67, 696, , 67201
67, 694, , 67180
67, 291, , 60938
67, 942, , 70244
68, 512, , 61028
68, 428, , 64076
68, 258, , 5444
68, 284, , 5504
68, 259, , 5492
68, 318, , 64325
68, 258, , 5523
68, 322, , 9864
